Wort,Anzahl
0,1
000,45
011,3
02.12.2018,1
03,1
034,3
04,1
05,1
05.12.2018,2
062,3
1,32
1,6,1
1.000,1
1.044,1
1.413,1
1.981,2
10,4
100,6
106,1
108,1
10h,2
11,2
12h,1
130,3
132,1
138,1
13h,1
15,10
157,2
15h,1
16,3
16h,1
17,2
17h,1
19,2
194,1
1993,1
19h,1
2,12
2.170,2
20,2
2016,1
2018,5
2019,1
2030,1
205,1
21,2
236,1
245,3
278,1
291,1
2h,1
3,5
30,4
3000,1
31,1
310,3
325,1
34,1
36,1
39,1
3g,1
4,3
400,1
43,1
433,1
44,1
45,1
47,1
48,1
481,3
49,1
491,3
4h,2
5,6
50,1
513,3
54,1
542,1
547,1
55.711,2
56,1
572,2
59,1
5h,2
6,1
60.284,2
668,2
7.6,1
70,1
763,3
77,1
7h,1
87.987,2
884,2
90,3
972,2
999,1
ab,2
aber,7
abermals,1
abgasskandal,1
abgelehnt,1
abo,3
abon,1
abonnenten,3
about,7
above,1
abr,4
abs,1
abschaffen,1
abschaffung,1
ac,3
account,3
ach,1
acht,1
achten,1
across,3
activity,1
ad,2
ada,1
administration,1
admired,1
adopts,1
ads,1
advertisement,4
advertising,1
advice,1
adviser,2
afaan,3
afd,2
affairs,1
afp,4
africa,5
africans,1
afrika,1
afrikaans,3
after,4
agb,1
agents,2
aggression,1
ago,15
agree,2
agreement,1
ahead,1
aide,1
aids,1
airport,2
ais,8
akademie,5
akan,3
akt,1
aktentasche,1
aktienbesitz,4
aktivieren,1
aktivismus,2
aktuell,2
aktuelles,1
albanian,1
albert,2
albrecht,1
album,1
alemannisch,3
alexa,2
alexander,3
algen,1
algorithmen,1
aliaj,3
all,3
alle,10
allein,1
aller,1
alles,2
allow,1
als,12
also,6
alt,1
altersarmut,4
altersvorsorge,4
always,1
am,4
amazon,1
america,1
americas,1
amerikanerin,1
amharic,1
among,1
ana,2
analyse,1
andere,3
anderen,1
andreas,2
android,3
anfeuern,1
angebote,4
angela,2
angst,1
anker,1
anmelden,1
ansehen3,1
antenne,1
anti,2
antwort,1
antworten,1
any,1
anzeige,1
anzeigen,2
anzuzeigen,1
app,3
appears,1
application,3
approach,1
apps,8
arabic,1
aragon,3
arbeit,4
arbeiten,1
arbeitet,1
arbeitgebern,1
arbeitnehmer,2
arbeits,1
arbeitsausbeutung,1
arbeitslosengeld,1
arbeitsmarkt,1
arbeitsmigranten,1
archiv,2
aren't,1
argument,1
arias,1
arjen,1
arm,3
arms,2
around,2
arpitan,3
arrest,3
arrested,1
art,4
arten,1
artensterben,1
article,1
articles,21
artigos,3
artikel,5
arts,3
asendorpf,1
asia,4
asteroid,1
asteroiden,2
astronomie,1
asturianu,3
attribution,3
au,1
auch,6
audio,2
audiotrainer,1
auf,15
aufgenommen,1
aufgestellt,1
aufgrund,1
aufrufe,6
aufstecklinsen,1
august,1
augustin,4
aus,9
ausfl,1
ausgerechnet,1
ausgestellt,1
aussagen,1
aussehen,1
ausstattung,1
aussterben,1
austritt,1
ausw,1
auswahlm,1
auszuleben,1
authorities,2
auto,2
autohersteller,2
autoherstellern,1
autoindustrie,1
autokonzerne,1
automarkt,1
automobile,1
automobilindustrie,1
autor,1
autoren,1
autorin,1
autoz,1
autres,3
ava,3
available,10
avoid,1
ayisyen,3
aymar,3
az,3
b,8
babies,1
baby,3
bad,1
baden,1
badewanne,1
bahasa,9
bahaso,3
bahn,2
bahnfahrer,1
bahsa,3
bald,1
ball,2
ballerin,1
ballon,1
balzer,1
bamanankan,3
band,1
bandtagebuch,1
banjar,3
bank,1
banyumasan,3
basa,9
base,3
bayern,2
bayreuth,2
became,1
bedarf,1
bedingungen,1
bedroht,1
been,1
begehrte,1
begrenzen,1
beh,1
behaupten,1
bei,13
beijing,1
being,1
bekommt,2
belastet,1
belgien,2
belgische,1
belgium,1
beliebt,2
beliebte,1
bem,1
ben,1
bengali,1
bennu,2
ber,7
berater,1
berechnet,1
bereichern,1
bereit,1
bereitzustellen,1
berfl,1
bericht,3
berleben,1
berlin,4
berliner,2
bermitteln,1
berraschende,1
bers,1
berschuss,1
bersetzung,1
berstunden,1
beruf,1
berufe,1
berufsfeld,1
berwinden,1
berzeugen,1
besch,3
bescheuert,1
beschlagnahmt,1
beschuldigte,1
beschwichtigen,1
besonders,4
besser,2
bessere,2
best,1
besten,2
bett,1
better,2
between,1
bev,1
bevor,1
bew,2
beweis,1
beyer,1
bezeichnet,1
bezieher,1
beziehungskolumne,1
bienenretter,1
bietet,1
big,4
bikol,3
bilateral,1
bildband,1
bilder,2
bilderaktion,1
bildergalerie,2
bildrechte,1
bildung,1
bildungswerkstatt,1
binisaya,3
biografie,1
biologie,1
birthday,2
birthler,2
births,1
bis,1
bislama,3
bislang,1
bizaad,3
bizarre,1
bl,1
ble,1
bleibt,2
bleibtreu,2
blichste,4
blogs,1
bmw,2
boarisch,3
bokm,3
books,1
bord,1
born,4
bosanski,3
bosnian,1
bosses,5
botschaften,1
bound,1
boxer,1
br,1
brachte,1
brand,2
brasil,2
brave,1
brazilian,2
breach,1
brettspiel,1
brexit,11
brezhoneg,3
bringen,1
britische,4
britta,1
brnabic,2
brosche,1
broschen,1
browser,3
bruch,2
bsczi,3
bthvn2020,1
buch,1
building,1
bulgarian,1
bulgarien,2
bund,1
bundeskanzlerin,1
bundesl,1
bundesliga,5
buses,1
bush,3
business,12
buying,1
bye,2
c,3
calabria,1
calabrian,1
caledonia,2
calls,1
campus,3
can,3
capable,1
car,4
careers,1
carmakers,1
carolin,1
case,1
catal,3
categories,1
catwalk,1
causes,1
cd,1
cdu,6
celebrating,1
celebrity,1
center,2
central,3
ch,2
challenge,1
chamoru,3
champion,1
champions,1
chance,1
changing,1
chaos,1
charged,2
charlotte,2
chavacano,3
che,2
cheap,1
check,1
checked,1
chef,1
chefs,1
chemnitz,2
chic,1
chichewa,3
china,1
chinese,2
chinesische,1
